american_football.football_player.footballdb_id	american_football.football_player
astronomy.astronomical_observatory.discoveries	astronomy.astronomical_observatory
automotive.body_style.fuel_tank_capacity	automotive.body_style
automotive.engine.engine_type	automotive.engine
automotive.trim_level.max_passengers	automotive.trim_level
aviation.aircraft.first_flight	aviation.aircraft
biology.animal_breed.examples	biology.animal_breed
biology.organism_classification.child_classifications	biology.organism_classification
boats.warship_service_period.start_date	boats.warship_service_period
broadcast.radio_affiliation_duration.to_date	broadcast.radio_affiliation_duration
business.product_category.products	business.product_category
business.product_line.category	business.product_line
computer.os_compatibility.computer	computer.os_compatibility
dataworld.mass_data_operation.started_operation	dataworld.mass_data_operation
engineering.battery.size	engineering.battery
film.film_song_relationship.film	film.film_song_relationship
food.dish.recipes	food.dish
food.licensee_tenure.from	food.licensee_tenure
government.governmental_body.date_dissolved	government.governmental_body
location.statistical_region.co2_emissions_residential	location.statistical_region
measurement_unit.monetary_range.note	measurement_unit.monetary_range
medicine.compound_drug.compound_of	medicine.compound_drug
medicine.diagnostic_test_signs.test	medicine.diagnostic_test_signs
military.military_unit_size.units_of_this_type	military.military_unit_size
music.composition.place_of_first_performance	music.composition
music.voice.singers	music.voice
olympics.olympic_torch_relay_location.olympics	olympics.olympic_torch_relay_location
pipeline.task_profile.view_uri	pipeline.task_profile
religion.place_of_worship_historical_use.religion	religion.place_of_worship_historical_use
spaceflight.astronaut.space_agency	spaceflight.astronaut
sports.golf_facility.access	sports.golf_facility
tv.video.weblink	tv.video
venture_capital.venture_investor.investments	venture_capital.venture_investor
astronomy.galactic_group.galaxy_cluster	astronomy.galactic_group
aviation.airliner_accident.flight_destination	aviation.airliner_accident
basketball.basketball_player_stats.fgm	basketball.basketball_player_stats
business.asset_ownership.from	business.asset_ownership
business.business_operation.competitive_space	business.business_operation
chemistry.chemical_compound.enthalpy_change_of_fusion	chemistry.chemical_compound
computer.software.developer	computer.software
cvg.musical_game.input_method	cvg.musical_game
education.university.international_tuition	education.university
engineering.mains_power.compatible_plugs	engineering.mains_power
event.disaster_affected_structure.destroyed_by_disaster	event.disaster_affected_structure
fictional_universe.sibling_relationship_of_fictional_characters.siblings	fictional_universe.sibling_relationship_of_fictional_characters
film.film_festival_event.festival	film.film_festival_event
film.personal_film_appearance.film	film.personal_film_appearance
food.beer.alcohol_content	food.beer
food.bottled_water.floride_content	food.bottled_water
geography.island_group.islands_in_group	geography.island_group
government.election.winner	government.election
government.government_issued_permit.valid_for	government.government_issued_permit
government.government_service_channel.physical_location_access	government.government_service_channel
law.patent_office.patents	law.patent_office
location.census_tract.vac_36_res	location.census_tract
location.location.geometry	location.location
measurement_unit.dated_money_value.amount	measurement_unit.dated_money_value
measurement_unit.heat_capacity_unit.measurement_system	measurement_unit.heat_capacity_unit
medicine.cancer_center.comprehensive	medicine.cancer_center
medicine.medical_specialty.diseases_treated	medicine.medical_specialty
military.military_post_use.from_date	military.military_post_use
organization.organization.advisors	organization.organization
organization.organization_membership.to	organization.organization_membership
organization.organization_spin_off.date	organization.organization_spin_off
royalty.chivalric_rank_precedence.higher_rank	royalty.chivalric_rank_precedence
spaceflight.rocket_engine.used_in_rocket_stages	spaceflight.rocket_engine
symbols.coat_of_arms.supporter	symbols.coat_of_arms
theater.musical_soundtrack.production	theater.musical_soundtrack
visual_art.art_period_movement.associated_artists	visual_art.art_period_movement
zoos.animal_captivity.to	zoos.animal_captivity
american_football.game_receiving_statistics.touchdown_on_longest_reception	american_football.game_receiving_statistics
amusement_parks.park.area	amusement_parks.park
architecture.light_attributes.lighthouse_having_attributes	architecture.light_attributes
automotive.manufacturing_plant.models_manufactured	automotive.manufacturing_plant
automotive.trim_level.weight	automotive.trim_level
aviation.aircraft_ownership_count.aircraft_owner	aviation.aircraft_ownership_count
aviation.airport.number_of_aircraft_movements	aviation.airport
basketball.basketball_player_career_stats.rebounds	basketball.basketball_player_career_stats
biology.breed_group.breeds_in_this_group	biology.breed_group
book.journal_publication.journal	book.journal_publication
book.place_of_publication_period.place_of_publication	book.place_of_publication_period
boxing.boxing_title_tenure.to	boxing.boxing_title_tenure
business.business_operation.retained_earnings	business.business_operation
cricket.cricket_roster_bowling.roster	cricket.cricket_roster_bowling
cvg.game_version.developer	cvg.game_version
film.film_song_relationship.composition	film.film_song_relationship
internet.protocol.api	internet.protocol
location.statistical_region.gni_per_capita_in_ppp_dollars	location.statistical_region
measurement_unit.current_unit.current_in_amperes	measurement_unit.current_unit
media_common.cataloged_instance.opac_umich	media_common.cataloged_instance
medicine.drug.atc_code	medicine.drug
medicine.medical_trial.references	medicine.medical_trial
meteorology.beaufort_wind_force.minimum_wind_speed_km_h	meteorology.beaufort_wind_force
olympics.olympic_games.demonstration_events	olympics.olympic_games
olympics.olympic_games.number_of_countries	olympics.olympic_games
religion.religious_organization.leaders	religion.religious_organization
royalty.precedence.higher_rank	royalty.precedence
wine.wine_region.wine_styles	wine.wine_region
architecture.landscape_project.landscape_architect	architecture.landscape_project
architecture.museum.address	architecture.museum
automotive.model.generations	automotive.model
automotive.platform.predecessor	automotive.platform
award.award_announcement.award	award.award_announcement
award.award_category.disciplines_or_subjects	award.award_category
award.award_winning_work.awards_won	award.award_winning_work
biology.fossil_site.fossilized_organisms_found_here	biology.fossil_site
biology.gene_ontology_group.broader_group	biology.gene_ontology_group
book.periodical.first_issue_date	book.periodical
business.brand.product_lines	business.brand
business.oil_field.year_discovered	business.oil_field
celebrities.reason_for_arrest.celebrities_charged_or_arrested	celebrities.reason_for_arrest
chemistry.periodic_table_block.elements	chemistry.periodic_table_block
cvg.game_series.games_in_series	cvg.game_series
digicams.camera_sensor_size.horizontal_size	digicams.camera_sensor_size
education.educational_degree.people_with_this_degree	education.educational_degree
education.school.ministry_of_education_no	education.school
engineering.engine.first_ran	engineering.engine
fictional_universe.fictional_character.has_possessed	fictional_universe.fictional_character
geography.river.origin	geography.river
law.us_patent.us_patent_type	law.us_patent
location.census_tract.pqns_is_b	location.census_tract
location.ru_raion.administrative_center	location.ru_raion
location.statistical_region.abortions	location.statistical_region
location.statistical_region.part_time_employment_percent	location.statistical_region
measurement_unit.percentage_range.high_value	measurement_unit.percentage_range
measurement_unit.unit_of_molar_mass.molar_mass_in_grams_per_mole	measurement_unit.unit_of_molar_mass
media_common.cataloged_instance.stanford_opac	media_common.cataloged_instance
medicine.drug_formulation.active_moieties	medicine.drug_formulation
music.artist.origin	music.artist
music.music_video_gig.music_video	music.music_video_gig
