automotive.engine.engine_type	automotive.engine_type.used_in
biology.animal_breed.examples	biology.pedigreed_animal.breed
biology.organism_classification.child_classifications	biology.organism_classification_placement.higher_classification
business.product_category.products	business.consumer_product.category
computer.os_compatibility.computer	computer.computer.compatible_oses
engineering.battery.size	engineering.battery_size.batteries_of_this_size
medicine.compound_drug.compound_of	medicine.drug.part_of_compound_drug
medicine.diagnostic_test_signs.test	medicine.diagnostic_test.signs
military.military_unit_size.units_of_this_type	military.military_unit.unit_size
religion.place_of_worship_historical_use.religion	religion.religion.places_of_worship_historical
spaceflight.astronaut.space_agency	spaceflight.space_agency.astronauts
sports.golf_facility.access	sports.golf_club_access.golf_clubs
astronomy.galactic_group.galaxy_cluster	astronomy.galactic_cluster.galaxy_groups
business.business_operation.competitive_space	business.competitive_space_mediator.company
computer.software.developer	computer.software_developer.software
cvg.musical_game.input_method	cvg.input_method.games_using_this
fictional_universe.sibling_relationship_of_fictional_characters.siblings	fictional_universe.fictional_character.siblings
film.personal_film_appearance.film	film.film.personal_appearances
location.location.geometry	location.geometry.delineates_location
measurement_unit.heat_capacity_unit.measurement_system	measurement_unit.measurement_system.heat_capacity_units
medicine.medical_specialty.diseases_treated	medicine.disease.medical_specialties
organization.organization.advisors	business.company_advisor.companies_advised
symbols.coat_of_arms.supporter	symbols.heraldic_supporter.coat_of_arms
visual_art.art_period_movement.associated_artists	visual_art.visual_artist.associated_periods_or_movements
aviation.aircraft_ownership_count.aircraft_owner	aviation.aircraft_owner.aircraft_fleet_composition
cvg.game_version.developer	cvg.cvg_developer.game_versions_developed
film.film_song_relationship.composition	film.film_song.films
olympics.olympic_games.demonstration_events	olympics.olympic_event.contested_as_demonstration_event
religion.religious_organization.leaders	religion.religious_organization_leadership.organization
royalty.precedence.higher_rank	royalty.noble_rank.lower_rank
automotive.model.generations	automotive.generation.models
award.award_announcement.award	award.award.award_announcements
award.award_category.disciplines_or_subjects	award.award_discipline.awards_in_this_discipline
biology.gene_ontology_group.broader_group	biology.gene_ontology_group.narrower_group
law.us_patent.us_patent_type	law.us_patent_type.patents
medicine.drug_formulation.active_moieties	medicine.drug.active_moiety_of
music.music_video_gig.music_video	music.music_video.crew
music.recording.genre	music.genre.recordings
organization.leadership.person	business.board_member.leader_of
protected_sites.protected_site.governing_body	protected_sites.governing_body_of_protected_sites.protected_sites_governed
sports.sports_league.sport	sports.sport.leagues
sports.sports_team_coach.sports_coached	sports.sport.team_coaches
book.illustrator.books_illustrated	book.book.interior_illustrations_by
boxing.match_boxer_relationship.boxer	sports.boxer.matches
business.brand.parent_brand	business.brand.includes_brands
comic_books.comic_book_issue.cover_letters	comic_books.comic_book_letterer.comic_covers_lettered
engineering.engine_category.sub_categories	engineering.engine_category.category_of
film.performance.character	film.film_character.portrayed_in_films
media_common.literary_genre.stories_in_this_genre	book.short_story.genre
medicine.disease.treatments	medicine.medical_treatment.used_to_treat
medicine.drug_formulation.active_ingredient_moieties	medicine.drug_ingredient.active_moiety_of_formulation
projects.project.project_focus	projects.project_focus.projects
book.publishing_company.publisher	book.publisher_imprint_tenure.imprints
boxing.boxing_match.weight_class	sports.boxing_weight_division.matches
film.film.rating	film.content_rating.film
food.licensee_tenure.licensee	food.licensee.drinking_establishments
government.election.district	government.political_district.elections
military.casualties.combatant	military.military_combatant.casualties
olympics.olympic_bidding_city.olympics_bid_on	olympics.olympic_city_bid.bidding_city
rail.railway.operator_s	rail.railway_operator_relationship.railway
royalty.chivalric_rank.opposite_gender_equivalent	royalty.chivalric_rank_gender_equivalence.rank
soccer.football_league.governing_body	soccer.fifa.leagues_governed
automotive.model.successor	automotive.model.predecessor
education.academic_post.person	education.academic.appointments_fellowships_etc
finance.exchange_operator.exchanges_operated	finance.exchange_operator_relationship.exchange_operator
food.dish.ingredients	food.ingredient.dishes
music.music_video_performance.music_video_character	music.music_video_character.portrayed_in_music_videos
music.music_video_performance.special_music_video_performance_type	music.special_music_video_performance_type.special_music_video_performances
organization.organization_partnership.members	organization.organization.partnerships
religion.religious_leadership_jurisdiction.title	religion.religious_leadership_jurisdiction_appointment.jurisdiction
american_football.football_game.home_team	american_football.football_team.home_games
astronomy.orbital_relationship.orbit_type	astronomy.orbit_type.orbiting_bodies
celebrities.sexual_orientation_phase.sexual_orientation	celebrities.sexual_orientation.celebrities
engineering.power_plug_standard_type.compatible_power_systems	engineering.mains_power.compatible_plugs
measurement_unit.distance_unit.measurement_system	measurement_unit.measurement_system.length_units
media_common.dedication.dedicated_to	media_common.dedicatee.dedications
medicine.manufactured_drug_form.fda_otc_part	medicine.fda_otc_monograph_part.drugs_regulated
sports.sports_award.award	sports.sports_award_type.winners
award.award_category.presenting_organization	award.award_presenting_organization.award_categories_presented
comedy.comedy_group.genres	comedy.comedy_genre.groups
computer.programming_language.parent_language	computer.programming_language.dialects
conferences.conference.venue	conferences.conference_venue.conferences
fictional_universe.fictional_character.character_created_by	fictional_universe.fictional_character_creator.fictional_characters_created
geography.mountain.first_ascenders	geography.mountaineer.first_ascents
music.compositional_form.superforms	music.compositional_form.subforms
royalty.chivalric_order_membership.presented_by	royalty.chivalric_order_officer.memberships_presented
sports.sports_award.season	sports.sports_league_season.awards
amusement_parks.ride.area	amusement_parks.amusement_park_area.rides
astronomy.galaxy.galactic_group	astronomy.galactic_group.galaxies_in_group
astronomy.star_system.stars	astronomy.star.star_system
award.award_nomination.nominated_for	award.award_nominated_work.award_nominations
comic_books.comic_book_story.pencils	comic_books.comic_book_penciler.comic_books_penciled
language.conlang_purpose.languages_of_this_type	language.conlang.conlang_type
law.constitution.constitutional_convention	law.constitutional_convention.constitution
opera.opera_designer_gig.design_role	opera.opera_designer_role.designers
sports.golf_course.designer	sports.golf_course_designer.golf_courses
theater.theater_production_staff_gig.play	theater.theater_production.production_staff
american_football.football_team.conference	american_football.football_conference.teams
architecture.building.occupant	architecture.occupancy.building
chemistry.chemical_classification.chemicals_of_this_type	chemistry.chemical_compound.classifications
cricket.cricket_umpire_panel_membership.panel	cricket.cricket_umpire_panel.members
fashion.textile.fiber	fashion.fiber.textiles_made_from_this_fiber
fictional_universe.fictional_character.parents	fictional_universe.fictional_character.children
measurement_unit.thermal_conductivity_unit.measurement_system	measurement_unit.measurement_system.thermal_conductivity_units
