american_football.football_player.footballdb_id	type.enumeration
astronomy.astronomical_observatory.discoveries	astronomy.astronomical_discovery
automotive.body_style.fuel_tank_capacity	type.float
automotive.engine.engine_type	automotive.engine_type
automotive.trim_level.max_passengers	type.int
aviation.aircraft.first_flight	type.datetime
biology.animal_breed.examples	biology.pedigreed_animal
biology.organism_classification.child_classifications	biology.organism_classification_placement
boats.warship_service_period.start_date	type.datetime
broadcast.radio_affiliation_duration.to_date	type.datetime
business.product_category.products	business.consumer_product
business.product_line.category	business.product_category
computer.os_compatibility.computer	computer.computer
dataworld.mass_data_operation.started_operation	type.datetime
engineering.battery.size	engineering.battery_size
film.film_song_relationship.film	film.film
food.dish.recipes	food.recipe
food.licensee_tenure.from	type.datetime
government.governmental_body.date_dissolved	type.datetime
location.statistical_region.co2_emissions_residential	location.co2_emission
measurement_unit.monetary_range.note	type.text
medicine.compound_drug.compound_of	medicine.drug
medicine.diagnostic_test_signs.test	medicine.diagnostic_test
military.military_unit_size.units_of_this_type	military.military_unit
music.composition.place_of_first_performance	location.location
music.voice.singers	music.group_member
olympics.olympic_torch_relay_location.olympics	olympics.olympic_torch_relay
pipeline.task_profile.view_uri	type.rawstring
religion.place_of_worship_historical_use.religion	religion.religion
spaceflight.astronaut.space_agency	spaceflight.space_agency
sports.golf_facility.access	sports.golf_club_access
tv.video.weblink	type.uri
venture_capital.venture_investor.investments	venture_capital.venture_investment
astronomy.galactic_group.galaxy_cluster	astronomy.galactic_cluster
aviation.airliner_accident.flight_destination	location.location
basketball.basketball_player_stats.fgm	type.int
business.asset_ownership.from	type.datetime
business.business_operation.competitive_space	business.competitive_space_mediator
chemistry.chemical_compound.enthalpy_change_of_fusion	type.float
computer.software.developer	computer.software_developer
cvg.musical_game.input_method	cvg.input_method
education.university.international_tuition	measurement_unit.dated_money_value
engineering.mains_power.compatible_plugs	engineering.power_plug_standard_type
event.disaster_affected_structure.destroyed_by_disaster	event.disaster
fictional_universe.sibling_relationship_of_fictional_characters.siblings	fictional_universe.fictional_character
film.film_festival_event.festival	film.film_festival
film.personal_film_appearance.film	film.film
food.beer.alcohol_content	type.float
food.bottled_water.floride_content	type.float
geography.island_group.islands_in_group	geography.island
government.election.winner	government.politician
government.government_issued_permit.valid_for	government.government_service_duration
government.government_service_channel.physical_location_access	location.location
law.patent_office.patents	law.us_patent
location.census_tract.vac_36_res	measurement_unit.dated_integer
location.location.geometry	location.geometry
measurement_unit.dated_money_value.amount	type.float
measurement_unit.heat_capacity_unit.measurement_system	measurement_unit.measurement_system
medicine.cancer_center.comprehensive	type.boolean
medicine.medical_specialty.diseases_treated	medicine.disease
military.military_post_use.from_date	type.datetime
organization.organization.advisors	business.company_advisor
organization.organization_membership.to	type.datetime
organization.organization_spin_off.date	type.datetime
royalty.chivalric_rank_precedence.higher_rank	royalty.chivalric_rank
spaceflight.rocket_engine.used_in_rocket_stages	spaceflight.rocket_stage
symbols.coat_of_arms.supporter	symbols.heraldic_supporter
theater.musical_soundtrack.production	theater.theater_production
visual_art.art_period_movement.associated_artists	visual_art.visual_artist
zoos.animal_captivity.to	type.datetime
american_football.game_receiving_statistics.touchdown_on_longest_reception	type.boolean
amusement_parks.park.area	type.float
architecture.light_attributes.lighthouse_having_attributes	architecture.lighthouse
automotive.manufacturing_plant.models_manufactured	automotive.manufacturing_plant_model_relationship
automotive.trim_level.weight	type.float
aviation.aircraft_ownership_count.aircraft_owner	aviation.aircraft_owner
aviation.airport.number_of_aircraft_movements	measurement_unit.dated_integer
basketball.basketball_player_career_stats.rebounds	type.int
biology.breed_group.breeds_in_this_group	biology.breed_registration
book.journal_publication.journal	book.journal
book.place_of_publication_period.place_of_publication	location.location
boxing.boxing_title_tenure.to	type.datetime
business.business_operation.retained_earnings	measurement_unit.dated_money_value
cricket.cricket_roster_bowling.roster	cricket.cricket_roster
cvg.game_version.developer	cvg.cvg_developer
film.film_song_relationship.composition	film.film_song
internet.protocol.api	internet.api
location.statistical_region.gni_per_capita_in_ppp_dollars	measurement_unit.dated_money_value
measurement_unit.current_unit.current_in_amperes	type.float
media_common.cataloged_instance.opac_umich	type.rawstring
medicine.drug.atc_code	type.rawstring
medicine.medical_trial.references	book.cited_work
meteorology.beaufort_wind_force.minimum_wind_speed_km_h	type.float
olympics.olympic_games.demonstration_events	olympics.olympic_event
olympics.olympic_games.number_of_countries	type.int
religion.religious_organization.leaders	religion.religious_organization_leadership
royalty.precedence.higher_rank	royalty.noble_rank
wine.wine_region.wine_styles	food.wine_style
architecture.landscape_project.landscape_architect	architecture.landscape_architect
architecture.museum.address	location.mailing_address
automotive.model.generations	automotive.generation
automotive.platform.predecessor	automotive.platform
award.award_announcement.award	award.award
award.award_category.disciplines_or_subjects	award.award_discipline
award.award_winning_work.awards_won	award.award_honor
biology.fossil_site.fossilized_organisms_found_here	biology.organism_classification
biology.gene_ontology_group.broader_group	biology.gene_ontology_group
book.periodical.first_issue_date	book.periodical_publication_date
business.brand.product_lines	business.product_line
business.oil_field.year_discovered	type.datetime
celebrities.reason_for_arrest.celebrities_charged_or_arrested	celebrities.legal_entanglement
chemistry.periodic_table_block.elements	chemistry.chemical_element
cvg.game_series.games_in_series	cvg.computer_videogame
digicams.camera_sensor_size.horizontal_size	type.float
education.educational_degree.people_with_this_degree	education.education
education.school.ministry_of_education_no	type.int
engineering.engine.first_ran	type.datetime
fictional_universe.fictional_character.has_possessed	fictional_universe.fictional_object
geography.river.origin	location.location
law.us_patent.us_patent_type	law.us_patent_type
location.census_tract.pqns_is_b	measurement_unit.dated_integer
location.ru_raion.administrative_center	location.citytown
location.statistical_region.abortions	measurement_unit.dated_integer
location.statistical_region.part_time_employment_percent	measurement_unit.dated_percentage
measurement_unit.percentage_range.high_value	type.float
measurement_unit.unit_of_molar_mass.molar_mass_in_grams_per_mole	type.float
media_common.cataloged_instance.stanford_opac	type.rawstring
medicine.drug_formulation.active_moieties	medicine.drug
music.artist.origin	location.location
music.music_video_gig.music_video	music.music_video
music.recording.genre	music.genre
music.release_track.recording	music.recording
organization.leadership.person	business.board_member
protected_sites.protected_site.governing_body	protected_sites.governing_body_of_protected_sites
royalty.order_of_chivalry.date_last_awarded	type.datetime
royalty.system_rank_relationship.from_date	type.datetime
sports.sports_league.sport	sports.sport
sports.sports_team_coach.sports_coached	sports.sport
visual_art.artwork_owner_relationship.purchase_price	type.float
architecture.building.floor_space_square_meters	type.float
automotive.transmission.classification	automotive.transmission_type
automotive.trim_level.length	type.float
aviation.airline_alliance.number_of_non_voting_members	type.int
aviation.aviation_incident_aircraft_relationship.operator	aviation.aircraft_owner
award.award_category.judges_jury	award.award_judging_term
book.illustrator.books_illustrated	book.book
boxing.match_boxer_relationship.boxer	sports.boxer
business.brand.parent_brand	business.brand
business.defunct_company.ceased_operations	type.datetime
comic_books.comic_book_issue.cover_letters	comic_books.comic_book_letterer
cricket.cricket_roster_keeping.stumpings	type.int
engineering.engine_category.sub_categories	engineering.engine_category
fictional_universe.fictional_object.creation_date	fictional_universe.fictional_date_time
film.performance.character	film.film_character
food.bottled_water.calcium_content	type.float
geography.waterfall.drop_number	type.int
government.election_poll.release_date	type.datetime
location.census_tract.ns_6_12_r	measurement_unit.dated_integer
media_common.literary_genre.stories_in_this_genre	book.short_story
medicine.disease.treatments	medicine.medical_treatment
medicine.drug_formulation.active_ingredient_moieties	medicine.drug_ingredient
metropolitan_transit.transit_system.system_length	transportation.transit_system_length
music.release.track_list	music.release_track
projects.project.project_focus	projects.project_focus
skiing.lift_tenure.date_built	type.datetime
skiing.ski_lift.top_elevation	type.float
soccer.football_team_management_tenure.team	soccer.football_team
sports.school_sports_team.school	education.educational_institution
theater.theater_production.date_closed	type.datetime
tv.tv_rating_system.jurisdiction	location.location
visual_art.artwork.dimensions_meters	measurement_unit.dimensions
architecture.structure.construction_started	type.datetime
automotive.us_fuel_economy.trim_level	automotive.trim_level
aviation.aircraft_model.comparable_aircraft	aviation.comparable_aircraft_relationship
biology.protein.mmdb_id	type.enumeration
book.publishing_company.publisher	book.publisher_imprint_tenure
boxing.boxing_match.weight_class	sports.boxing_weight_division
computer.computer_processor.variants	computer.computer_processor
cricket.cricket_match.tournament_event	cricket.cricket_tournament_event
film.actor.nytimes_id	type.enumeration
film.film.rating	film.content_rating
film.film_regional_release_date.film	film.film
food.beer.color_srm	type.int
food.licensee_tenure.licensee	food.licensee
government.election.district	government.political_district
law.inventor.us_patents	law.us_patent
location.location_symbol_relationship.date_adopted	type.datetime
location.statistical_region.crime_rate_murder	measurement_unit.dated_ratio
location.statistical_region.military_expenditure_percent_gdp	measurement_unit.dated_percentage
measurement_unit.dimension.units	freebase.unit_profile
measurement_unit.measurement_system.heat_capacity_units	measurement_unit.heat_capacity_unit
meteorology.beaufort_wind_force.tropical_cyclone_categories	meteorology.tropical_cyclone_category
military.casualties.combatant	military.military_combatant
music.concert.start_date	type.datetime
olympics.olympic_athlete.country	olympics.olympic_athlete_affiliation
olympics.olympic_bidding_city.olympics_bid_on	olympics.olympic_city_bid
opera.opera_production_staff_gig.from	type.datetime
organization.organization_relationship.as_of_date	type.datetime
rail.railway.operator_s	rail.railway_operator_relationship
royalty.chivalric_rank.opposite_gender_equivalent	royalty.chivalric_rank_gender_equivalence
soccer.football_league.governing_body	soccer.fifa
soccer.football_team_manager_match_participation.manager	soccer.football_team_manager
spaceflight.rocket_status.rockets	spaceflight.rocket
time.time_zone.day_dst_begins	time.day_of_year
tv.tv_producer.programs_produced	tv.tv_producer_term
visual_art.artwork.period_or_movement	visual_art.art_period_movement
wine.wine.percentage_alcohol	type.float
amusement_parks.disney_ride_ticket_membership.from	type.datetime
astronomy.comet_group.comet	astronomy.comet
astronomy.star.metallicity	type.float
astronomy.star.radius	type.float
automotive.model.successor	automotive.model
automotive.opt_trim_relationship.option	automotive.option
broadcast.am_terrestrial_broadcast_facility.frequency	type.float
business.endorsed_product.endorsements	business.product_endorsement
business.oil_field.estimated_reserves	measurement_unit.dated_integer
cricket.cricket_player_debut.player	cricket.cricket_player_stats
cricket.cricket_roster_batting.balls	type.int
education.academic_post.person	education.academic
finance.exchange_operator.exchanges_operated	finance.exchange_operator_relationship
food.dish.ingredients	food.ingredient
food.recipe_author.recipes	food.recipe
government.political_party.country	organization.organization_scope
language.language_writing_system.parent_writing_systems	language.language_writing_system
location.statistical_region.capital_punishment	measurement_unit.dated_integer
location.statistical_region.gas_price_gallon	measurement_unit.dated_money_value
measurement_unit.dated_index_value.source	dataworld.information_source
meteorology.tropical_cyclone_season.last_storm_dissipated	type.datetime
music.group_membership.end	type.datetime
music.music_video_performance.music_video_character	music.music_video_character
music.music_video_performance.special_music_video_performance_type	music.special_music_video_performance_type
organization.organization.email	organization.email_contact
organization.organization_partnership.members	organization.organization
pipeline.task_profile.prompt	type.text
religion.religious_leadership_jurisdiction.title	religion.religious_leadership_jurisdiction_appointment
soccer.football_league_participation.from	soccer.football_league_season
spaceflight.rocket.number_of_stages	type.int
time.day_of_year.day	type.int
tv.tv_series_episode.next_episode	tv.tv_series_episode
american_football.football_game.home_team	american_football.football_team
astronomy.orbital_relationship.orbit_type	astronomy.orbit_type
automotive.option_package.trim_levels	automotive.trim_level
basketball.basketball_player_stats.season	sports.sports_league_season
biology.pedigreed_animal.breed	biology.animal_breed
book.written_work.author	book.author
business.shopping_center.retail_floor_space_m_2	type.int
celebrities.celebrity.legal_entanglements	celebrities.legal_entanglement
